Unnamed: 0,date,event,holiday_name
0,2016-01-01,holiday,anoNovo
1,2016-03-01,regular,regular
2,2016-03-25,holiday,paixaoCristo
3,2016-04-01,regular,regular
4,2016-04-21,holiday,Tiradentes
5,2016-05-01,holiday,DiaMundialTrabalho
6,2016-05-26,holiday,CorpusChristi
7,2016-06-01,regular,regular
8,2016-07-01,regular,regular
9,2016-08-01,regular,regular
10,2016-09-07,holiday,Independencia do Brasil
11,2016-10-01,regular,regular
12,2016-10-12,holiday,Nossa Senhora Aparecida
13,2016-11-01,regular,regular
14,2016-11-02,holiday,Finados
15,2016-11-15,holiday,Proclamacao da Republica
16,2016-11-21,blackFriday,blackFriday
17,2016-11-22,blackFriday,blackFriday
18,2016-11-23,blackFriday,blackFriday
19,2016-11-24,blackFriday,blackFriday
20,2016-11-25,blackFriday,blackFriday
21,2016-11-26,blackFriday,blackFriday
22,2016-11-27,blackFriday,blackFriday
23,2016-11-28,cybermonday,cybermonday
24,2016-12-01,regular,regular
25,2016-12-25,holiday,Natal
26,2017-01-01,holiday,Ano novo
27,2017-04-01,regular,regular
28,2017-04-14,holiday,Paixao de Cristo
29,2017-04-21,holiday,Tiradentes
30,2017-05-01,holiday,Dia Mundial do Trabalho
31,2017-06-01,regular,regular
32,2017-06-15,holiday,Corpus Christi
33,2017-07-01,regular,regular
34,2017-09-01,regular,regular
35,2017-09-07,holiday,Independencia do Brasil
36,2017-10-01,regular,regular
37,2017-10-12,holiday,Nossa Senhora Aparecida
38,2017-11-01,regular,regular
39,2017-11-02,holiday,Finados
40,2017-11-15,holiday,Proclamacao da Republica
41,2017-11-20,blackFriday,blackFriday
42,2017-11-21,blackFriday,blackFriday
43,2017-11-22,blackFriday,blackFriday
44,2017-11-23,blackFriday,blackFriday
45,2017-11-24,blackFriday,blackFriday
46,2017-11-25,blackFriday,blackFriday
47,2017-11-26,blackFriday,blackFriday
48,2017-11-27,cybermonday,cybermonday
49,2017-12-01,regular,regular
50,2017-12-25,holiday,Natal
